,document,label,star
11288,엔딩을 보여 뭐야 이게 끝이야 라는 반응이 나왔지만 긴장감 하나만큼은 최고 보는 내내 심장이 빨리 뛰고 소위말해 쫄린다는 느낌이 무척 강했음 그리고 살면서 큰 문제에 맞닥뜨렸을 때 계속 피하기만 하면 어느 곳에서도 빠져 나갈 수 없다는 나름의 교훈도 있었던 것 같아서 전체적으로 추천합니다 ,1,8
1019,진짜 영화 보는 내내 재미있었다 ,1,10
7471,휴 캐붕에 오유랑 설정이 어긋나는 부분들이 있어서 차라리 오유랑 선 긋고 맘이 편합니다 라울 지지파로서 이런 세계선 인정할 수 없습니다 그치만 곡이랑 연출은 진짜 곡이랑 연출이 별로이면 차라리 깨끗이 지우겠는데 왜 또 그건 쓸데없이 좋아가지곤곡과 무대 연출때문에 점 주고 갑니다 스토리는 그냥 평행세계인 걸로 생각할래요 ,1,8
14784,솔직히 긴장도 전혀 안 됐다 긴장도 스토리에서 오는 건데 ,0,2
2690,트롤졸귀다재밋어용도좋음 ,1,10
12367,처음부터 끝까지 불쾌한 걸 의도한 감독의 퍼니 게임인듯 ,1,10
3234,평점 안주려다 점대 영화는 아닌것 같아서 점 줌 스토리 개연성 빈약한건 사실이나 긴장감 있는 연출은 잘 뽑아낸 수작이라 생각함 ,1,10
10649,다 감내하고자 마음먹고 여유로운 미소를 띈 한효주의 표정이 너무 부럽다 나도 그런 여유를 가지고 살고 싶다 ,1,10
3894,년이 지나도 년이 지나서 다시봐도 또 울것같은 명작중학생때 친구가 영화관에서 이 영화 안보고 노래방간거 후회할꺼라 했는데진짜였어 ㅠㅠ 진짜 영화관에서 보고싶다ㅠㅠ ,1,10
12263,눈물 없이 볼수 없습니다 ,1,10
7639,사냥감이 된 인간의 심리를 잘 표현함 연기와 미장센이 뛰어나다 ,1,10
1558,여주인공 너무 매력있어요 내용흐름이 유치하긴 해도 가볍게 보고 오기 좋아요 ,1,8
13342,여자주인공 두명만 바뀌었으면 좋았을 영화특히 마지막 여자둘은 참 ,1,8
3832,몰입감 좋았고 잘 봤어요 뭐 아쉬운 부분도 많았지만 평점이 점대일 정돈 아닌거같은대 ,1,9
15654,중간에 박수치고싶다고 생각했는데 이미 앞에서 몇명 박수치고있었음   에 피로를 느끼던 중 가뭄에 단비같은 영화 ,1,10
10370,이정도면 이시영 연기 플러스 점수 줘서 수작정도 되는 국산 액션영화라고 봐도 무방한대 왜케 쳐 까고들있냐 ,1,7
12715,너무 슬퍼서 펑펑 울면서 봤어요ㅠㅠ ,1,10
14259,이렇게 재밌는 영화 진짜 몇년만에 처음봄 미친 레전드급 ,1,10
1978,스토리가 단순하긴해도 액션이 다한다 햄식 특유의 신음소리 내면서 싸우는액션신 말이 필요없음 ,1,10
6756,나름 괜찮게봤어여 베네딕트는 마지막에 허무할정도로 까메오수준으로 잠깐나왔다가 사라져서 아쉽지만 전체적으로 전쟁영화치곤 괜찮았습니다 초반엔 지루한가 싶었지만 나중엔 이입해서봤구여 또 그렇게 자극적이지도 않구요  ,1,8
3175,슬럼프에 빠진 누군가에게 위로와 함께 추천해주고 싶은 그런 애니 ,1,10
13621,욕망에 대해서 다시  한번  생각하게 한 영홰다야한 장면이 많다고들  불만인 사람이  있는데나름  의미가 있는데 ,1,8
14351,아 그 오래토록 기다린 결과 이런 허접한 스토리던가 ,0,2
10022,보고는 싶은데 상영관이 없네요ㅠ ,1,10
3689,무난한 한국형 전쟁영화 평론가들 평론은 믿지말자 ,1,8
16449,명작의 시작 훌륭한 에피타이져ㅎㅎ ,1,9
2479,하정우의 찌질하고 자연스러운 연기를 볼 수 있었다 주옥같은 대사가 많았고 그걸 참 잘 살렸다 방울방울해 우리집 티비도 디지털이야 등등 그리고 희진이 주월한테 마음이 생기기 시작한 장면을 참 재밌게 잘 그렸다 싸움이 생길 뻔한 순간임에도 불구하고 위트와 진심을 잘 섞어 웃음으로 모두의 마음을 풀어준 주월에 대해 호감이 생기는 장면이 인상 깊었다 털털하고 보편적인 세련되진 않지만 가식없는 로코 ,1,10
1367,배경은한국에서 연출된 미국 할렘가에서 더더 망해버린 도시 느낌배우들의 연기는 외국 영화에 중국 사람이 나와서 한국 사람인 척 하는 느낌우뤼 한쿡 사람 맞아혀그냥 전체적으로 미쿡에서 김 빠진 콜라를 먹었는데 목이 따가운 느낌 년대 미쿡 킬러 영화를한국판으로 옮겨놓은 느낌 터미네이터  같은 느낌영화의 정체성이 궁금함아 그냥 말도 안됨 ,0,1
2865,원래 영화보기 전에 평을 보고 이게 알바가 작성한건지 실제 후기인지 어느정도 판단하고 영화를 보는데 사냥의 시간 평보고 무슨 반응들이 이따구냐 싶어서 봤거든 여기는 평점 올리는 알바가 아니라 오히려 반대로 평점테러하는 알바들 같은데 작작해라 더럽다 소송 관련되서 그런가 ,1,9
1997,끝까지 볼 수 없는 영화 ,0,1
14380,시간 분 내내 지루하다 마지막 분 반짝 재밌으면 그건 영화로서 실패한 거임 감독 의도 알겠는데 진짜 너무 지루하고 이해하고 싶지도 않음 ,0,1
11959,점짜리 정도로 저 평가될 영화는 아닌거 같음 점에서 점 정도 밤에 불끄고 영화관에서 처럼 보면 스릴 넘치고 재밌음 ,1,9
3494,흠 재미가 없다나의 시간이 사냥 당함 ,0,1
4953,러닝타임이 너무 짧았던게 아쉬운 영화임 영상미  작화 모두 좋았지만 러닝타임이 너무 아쉬웠음시간 분정도 되는 러닝타임이였음 굉장한 영화가 됬을것 ,1,9
11361,그러게 왜안떴을까   ,1,10
1229,그냥 송위룡 얼굴이 개연성인데 뭘 더 바래여 잘생긴 얼굴 많이 써주세요 ,1,10
10739,독일인 신랑과 긴장감 속에 땀나며 본 작품성 높은 영화 ,1,10
4052,왜 엘리시움에만 의료기기 있는 줄 아냐 지구에 의료기기 놔서 모두가 살 만수무강하면 지구 박살나는 속도 배는 빨라짐 ㅋㅋ주인공 덕분에 인간들 배속으로 빨리 멸종할듯 아무도 안 살까지 만수무강해서 ,1,8
5124,꼭 보세요 현장감에 압도당합니다 ,1,10
2573,이런 작품이 사실 아카데미 수상작이어야 함 기생충 같은게 아니고 ,1,10
7943,배우들 고품격 연기 소름돋는 연출 저는 끝까지 긴장타면서 너무 잼있게 봤는데 의외로 낮은 평점에 깜짝 놀람 후속편을 기대하게 만드는 멋진 엔딩이라고 생각하고 빨리 편이 나왔으면 좋겠네요 벌써 기다려집니다 ,1,10
2358,왜그랬어요 감독님 ,0,1
7604,차라리 공포영화 컨셉으로 박해수씨를 총살당한 한많은 귀신으로 등장시켰으면 훨씬 낫지 않았을까 싶습니다 ,0,1
2526,이번 확장판 개봉을 시사회로 먼저 만나보았는데 이제야 왜 많은 사람들이 이 영화를 인생영화로 손꼽는지 알겠네요 전에 집에서 컴퓨터로 볼 때는 사실 경극이랑 중국현대사같은 내용들이 생소해서 집중하기 어려웠는데 시간 가까운 러닝타임과 격동적인 영화의 전개 배우들의 연기를 집중하려면 확실히 극장에서 보는게 좋은 영화같습니다 배우 장국영의 진가도 이제야 알 것같고 세세한 감정변화나 영화전개가 대단하네요 저처럼 아직도 영화 패왕별희의 진짜매력을 아직 직접 느껴보지 못한 분들은 이번에 러닝타임이 분 추가되어 확장판으로 개봉하는 패왕별희 디 오리지널을 만나보시길 추천해요 ,1,10
1592,우리나라에서만 뜬이유를 알겠다 ,0,4
2923,보는 내내 심장 쫄이면서 봤습니다 배우님들의 연기력도 너무 탄탄했습니다 스토리 부분은 아쉽긴했지만 재미있게 봤습니다 좋은 영화 감사합니다 ,1,10
11644,욕들어먹어도 싸지만긴장감은 괜찮았터미네이터편이 자꾸 생각나는건 기분탓일까 ,1,7
7714,아주 재미있게 시간가는 줄 모르고 잘 봤습니다 시나리오는 뭐 특별한 것이 없지만 우리나라에서 이러한 총격신이 있는 영화를 본적이 있나 싶네요 재미없다는 분들도 많은데 다들 개인 취향인듯합니다 ,1,10
5884,ㄹㅇ로다가 이런게 영화다 ,1,10
13030,긴장감으로 인생작 등극 다들 스토리 스토리 하는데 대체 어떤 구구절절한 스토리가 있어야 영화인걸까 그냥 보는내도록 쫄깃한 게 맛 아닌가 스토리넘치며 지루한 영화보다 훨씬 좋다 ,1,10
8810,저 아이는 천재가 맞는가보다 ㅠㅠ 연기천재캡아가 전혀 생각나지 않는 에반스도 멋짐 ,1,10
10959,모든 것이 상반된 흑인과 백인 간의 유쾌한 우정쌓기라는 뻔한 이야기를 세련된 화면과 연출로써 근사하게 만드는 감독의 재주  ,1,10
11737,ㅋ 함축되었다 ,0,4
12384,딸이 너무 좋아해요 ㅎㅎㅎㅎ매일 보는듯하네료노래도 중독되서 저랑 신랑 계속 따라부르네요 ㅋㅋ랄랄랄라라라랄라 후아 ,1,10
13018,총을 들고오고는 왜 안씀 ,1,10
1747,난 재밌둔디 긴장감 두둥 ,1,10
2914,영상미도 멋지고 스토리도 나름 잼남 ㅋ ,1,10
13305,스토리 개연성을 초딩한테 맡긴 수준 액션이랑 카메라 동선은 수준급 ,0,3
8860,알바들 댓글밖에없노ㅡㅡ ,0,2
4779,이정도 평점을 받을 영화는 아닌거같다후속작이 나올진 모르겠지만 후속작을 염두하고 만든 영화인거같아서 스토리는 한줄로 요약가능한 정도다하지만 영상미음악배우들의 연기가 긴장감을 갖게하고 집중하게 만든다집중해서 보면 시간 정말 빨리 간다근데 넷플 특성상 중간에 끊거나 산만하게 보면 이게 뭔가 싶을거같긴하다영화관에서 봤으면 더 좋았을것 같은 영화다 ,1,10
13182,올해본영화중 가장 감동있습니다 추천 ,1,10
6775,주인공을 쫒는 방법 등 개연성 없이 초능력마냥 찾아내는게 이해가 안되지만 긴장감만큼은 높아서 볼만합니다 ,1,8
15852,넷플릭스 개봉이 신의 한수다 본전도 못찾을뻔 ,0,2
2285,음악이 경이롭고 멋지고 신남마치 뮤지컬을 본듯한 여운 ,1,10
6434,그냥 너무 뻔한 액션물 존윅에 비해선 액션도 많이 떨어지고 그렇다고 스토리가 기발한 것도 아님 ,0,4
11311,닭잡는데 소잡는칼을 쓴격배우들 연기와 긴장감있는건 좋았지만 스토리가 없음 ,0,4
467,분명한 건 원작을 뛰어넘었다 ,1,7
73,너무 재미있음 아들덕분에 번봤네요 ㅎㅎ ,1,10
5570,이 영화에는 두명의 개구장이가 나옵니다 개구장이 한 개구장이 쌍둥이 아저씨 술래잡기를 즐겨하는 두명의 개구장이지요 ,0,1
15939,내용이 없는무의미한 총질과 추격전이 난무하는배우들 커리어의 오점으로 남을 작품리얼은 시도라도 했지이건 정말 극장개봉 안하길 잘했음 ,0,2
5750,이렇게 평점 테러를 당하는 이유가 궁금해서 봤다 이 정도 악평을 들을 정도는 아닌 것 같은데 ,1,10
15834,긴장하게 만드는 재미와  연기자들의 눈빛이 생생해요 ,1,10
5856,너무 슬픈 이방인의 감정을 가져본 사람은 더더욱 알 수 있는 처절한 영화 ,1,10
12180,넘 재미없어요 ㅠㅠ ,0,1
4480,진짜 내용도 별로인데다가 엔딩까지 별로임 억지로 공포 짜내려고 소리만 겁나질러서 보는내내 귀아팠음 ,0,2
11305,점 주고 싶은데 연기자들 연기력이 아까워서 점 줌 ,1,10
1266,한지민 연기 미쳤다 ㅠㅠ 너무 잘했어 ,1,10
3495,평점보고봤다가 평점 알바 초 저예산에 재미도 없음 는 최악임 이빨에 김붙인거임 매직으로 그린거임 머임 ㅋㅋ쫌 웃기긴 했음 ,0,1
9827,이상하게 티비에서 해주면 그냥 지나칠 수 없단 말이지 ,1,10
8745,액션씬이 많아서 좋았어요 역시 엽자단 ,1,10
3063,견자단은 엽문이고 엽문은 견자단 그자체였다 엽문 부터 파이널까지 재미없는것이없고 매탄마다 매력있는 조연케릭터가 넘친다 탄엔 홍금보 파이널엔 태극권의 만종화가 매력넘친다근데 궁금한것은 이소룡역의 진국곤이다 이소룡이 정말 살아있는거같았다그는 진짜 이소룡인가 이제 견자단의 마지막액션영화라니어벤저스의 아이언맨이 없는것과 같은 공허함이다살파랑 도화선 엽문등 이젠 이런영화레서 그를 볼수없는건가그리고 박평식은 제발좀꺼져라 그런 짧은 몇마디로 영화를 평론한다는 꼴이 이젠 보기가싫다 평론을 하기전에 이 영화를 사랑하고 견자단이 좋아서보는팬들을 먼저생각하고 평론해라 ,1,10
3346,길기만 하구 전혀 무슨 내용인지 ,0,2
7264,깔끔한 내러티브와 두 배우의 완벽한 티키타카 ,1,8
1817,총제작비가 억  주인공 명 출연료를 제외하고 억 정도의 제작비였다면 정말 괜찮은 영화일 수 있는데 억원으로 이정도라니 어이가 없음 ,0,3
12825,한국 극장에서 어거지로 만 찍는 감성팔이 국뽕팔이 영화들보다 훨씬 더 잘 만든 영화ㅇㅇ물론 스토리적인 부분에선 아쉽긴 하지만 전반적으로 다 좋았음 넷플릭스에서 지원받아서 드라마로 제작했으면 킹덤과 함께 어깨를 나란히 했을 것 같음 ㅇㅇ사실 냉정하게 점은 아닌데 평점 테러하는 알바인지 수준 낮은 인간들인지 때문에 점으로 평균 맞춰드림니당 ,1,10
7802,진짜 긴장감ㅠㅠ 숨막혀 죽을뻔 ,1,10
685,스토리가 복잡하지 않아도 이런 깊은 여운을 남길수 있구나 ,1,10
3564,잔잔하면서도 내용은 꽉찬 심지어 음악과 주인공들의 스토리까지 완벽했습니다 지루할틈없이 이어지는 이야기에 음악의 감동까지 더할나위없었습니다 ,1,10
231,소재 신선하고 재밌는데 다들 왜그래ㅠㅜ편 나올까 궁금하다ㅎㅎ ,1,10
7477,그냥 미쳤다 헤드폰 끼고 보다가 몇 몇 장면은 쫄려서 헤드폰 빼고 봄 ,1,10
4377,전쟁영화보다 더 차열한 전쟁영화 한편봤네요 손에 땀이 날 정도로 몰입감 입게 잘봤습니다 ,1,8
9306,마지막 기차역에서 야니의 음악이 울려퍼지고 주윤발과 오천련의 이별씬은 눈물을 범벅지게 한다유가휘와 필립 리의 대결씬도 멋지다숨겨진 걸작 ,1,10
2629,이런건 제발 돈받고 극장 개봉 하지 않기를공짜로 봤는데도 시간 보상 받고싶음 감상 포인트 체크할께 하나도 없는데하나라도 반드시 체크해야 글을 올릴수 잇네요ㅎ ,0,1
3723,그냥액션을 보고싶은거면 추천함 스토리 따지시는분은 비추 ,0,2
15088,너무별루ㅜㅜㅠ ,0,1
1952,그냥 개똥망고무마개 처먹은 느낌 ,0,1
11618,신선한 적외선 연출과  슈왈제너거만이 가능한 연기 프레더터한테 넌 도대체 뭐냐고 들을할만한 그 시절 몸이란 ,1,9
15404,심장이 쫄깃해요 한 순간도 긴장을 놓칠 수가 없음 ,1,10
4610,죽은 연인을 위한 복수였지만 결국엔  악마를 잡기위해  자신도 악마로 변해버린 이병헌  마지막 도로위를 걸으며  오열하면서 웃는 그리고 우는 엔딩 장면이 너무 가슴에 남네요승자도 패자도 없는 복수 이병헌 최민식 연기는  진짜 최고네요 평점이 왜 이렇게 낮은지 모르겠네요  ,1,10
12830,긴장감 넘치는영화였음 ,1,10
